Card类型,分类,App名称,AI Action场景,必需数据字段,数据来源/API,开发状态
Type B 内容分发型,邮件工具,Outlook,"Draft Email
Send Email","• To (Email Address)
• Subject
• Email Body
• CC/BCC (optional)","• GET /me/contacts 获取联系人
• POST /me/sendMail 发送邮件
• GET /me/messages/:id 获取邮件",-
Type B 内容分发型,营销邮件,Mailchimp,"Create Campaign
Send Campaign
Schedule Campaign","• Campaign Name
• Subject Line
• Email Content (HTML)
• Audience/List ID
• Send Time (optional)","• GET /lists 获取受众列表
• POST /campaigns 创建 Campaign
• POST /campaigns/:id/actions/send 发送
• Agent 需从指令提取 Campaign 内容和目标受众",-
Type B 内容分发型,营销邮件,SendGrid,"Send Marketing Email
Create Template","• From Email
• To List
• Subject
• HTML Content
• Template ID (optional)","• GET /marketing/lists 获取联系人列表
• POST /mail/send 发送邮件
• GET /templates 获取模板列表",-
Type B 内容分发型,调研问卷,Typeform,"Create Survey
Send Survey
Distribute Survey","• Survey Title
• Questions
• Recipient List
• Survey Link
• Distribution Method","• POST /forms 创建表单
• GET /forms/:id 获取表单链接
• 需集成邮件 API 进行分发
• Agent 需从指令生成问卷问题结构",-
Type B 内容分发型,调研问卷,SurveyMonkey,"Create Survey
Send Collector","• Survey Title
• Questions
• Collector Type
• Recipient Emails","• POST /surveys 创建调研
• POST /surveys/:id/collectors 创建收集器
• POST /collectors/:id/messages 发送邀请",-
Type B 内容分发型,文档更新,Confluence,"Create Page
Update Page
Add Comment","• Space ID
• Page ID (更新时)
• Page Title
• Content (HTML/Storage Format)
• Parent Page ID","• GET /spaces 获取空间列表
• GET /content 搜索页面
• POST /content 创建页面
• PUT /content/:id 更新页面
• Agent 需从对话识别要更新的页面标题",-
Type B 内容分发型,文档更新,Google Docs,"Create Doc
Update Doc Content
Insert Text","• Document ID (更新时)
• Document Title
• Content Text
• Insert Position
• Folder ID (创建时)","• POST /documents 创建文档
• POST /documents/:id:batchUpdate 批量更新
• GET /documents/:id 获取文档内容
• GET /drive/files 搜索文档",-
Type C 数据检索型,营销分析,Mailchimp,"Generate Campaign Report
Generate Audience Analytics
Export Performance Data","• Campaign ID (optional)
• Date Range (Start/End)
• Report Metrics (Opens, Clicks, etc.)
• Report Format (Summary/Detailed)
• Audience Segment ID (optional)","• GET /reports/campaigns/:id 获取单个 Campaign 报告
• GET /reports 获取所有 Campaign 报告
• GET /lists/:id/growth-history 获取受众增长数据
• GET /lists/:id/activity 获取活动数据
• Context: Agent 分析数据并生成可读性报告
• AI 生成图表说明和洞察建议",-
Type C 数据检索型,销售分析,HubSpot,"Generate Sales Report
Pipeline Analytics
Revenue Forecast","• Date Range (Start/End)
• Pipeline ID
• Report Type (Deals/Revenue/Forecast)
• Team/Owner Filter
• Grouping Options (Stage/Month)","• GET /crm/v3/objects/deals 获取 Deals 数据
• GET /analytics/v2/reports 获取分析报告
• GET /crm/v3/pipelines/deals 获取 Pipeline 配置
• GET /owners 获取所有者列表
• Context: Agent 需计算转化率、预测趋势
• AI 生成执行摘要和行动建议",-
Type C 数据检索型,网站分析,Google Analytics,"Generate Traffic Report
User Behavior Analysis
Conversion Report","• Date Range (Start/End)
• Property ID
• Metrics (Sessions, Users, Conversions)
• Dimensions (Source, Device, Page)
• Segment Filter (optional)","• POST /data:runReport 运行自定义报告
• GET /properties 获取属性列表
• GET /metadata 获取可用维度和指标
• Context: Agent 需理解分析目标并选择合适指标
• AI 生成趋势分析和优化建议",-
Type C 数据检索型,销售分析,Salesforce,"Generate Pipeline Report
Forecast Report
Team Performance","• Date Range (Start/End)
• Report Type ID (optional)
• Opportunity Stage Filter
• User/Team Filter
• Include Forecast (Yes/No)","• GET /analytics/reports 获取报告列表
• POST /analytics/reports/:id/instances 运行报告
• GET /sobjects/Opportunity/describe 获取字段元数据
• GET /sobjects/User 获取用户列表
• Context: Agent 需整合多个数据源
• AI 生成业绩洞察和预测分析",-
